name,city
GURU KIRPA TRADERS(SHAHRANPUR),Uttar Pradesh
GURU KRIPA HOSIERY (Gwalior),Madhya Pradesh
GURU NANAK STORE (C/O KULJEET KAUR),Delhi
Hanu Textiles (Gangapur City),Rajasthan
HARI  CHAND  &  SONS,Delhi
HARI OM HOSIERY (Kota),Rajasthan
HARI OM TRADERS,Delhi
HARISH GENERAL STORE (Pathankot),Punjab
HARJOT SINGH & SONS,Delhi
HARMILAP  STORE (Bareilly),Uttar Pradesh
H.B.GARMENTS (Gorakhpur),Uttar Pradesh
HCPL (India) (Sadar Bazar),Delhi
HEENA EMPORIUM (DELHI) (D),Delhi
HEENA ENTERPRISES (Bikaner),Rajasthan
Heena Garments (D),Delhi
HEENA MARKETING,Delhi
HOSHIAR SINGH JAIN & SONS,Delhi
HOSIERY EMPORIUM (Bareilly),Uttar Pradesh
INDIA READYMADE,Uttar Pradesh
INDRA AGENCY (Swaimadhopur),Rajasthan
Indra Store (Bareilly),Uttar Pradesh
INDRESH KUMAR,Uttar Pradesh
IRAJ FASHION (Lucknow),Uttar Pradesh
JAGDAMBA HOSIERY (Elenabad),Haryana
JAGDISH (Hisar),Haryana
JAGMOHAN AND COMPANY,Delhi
JAI AMBE HOSIERY (Adampur),Haryana
JAI AMBEY GARMENTS (Baraut),Uttar Pradesh
JAI BARFAANI GARMENTS (Bari),Rajasthan
JAI GENERAL STORE (Jalandhar),Punjab
JAI HIND HOSIERY HOUSE,Delhi
Jai Maa Vashno Traders (Panipat),Haryana
JAIN BAG HOUSE,Delhi
Jain Brothers (Meerut),Uttar Pradesh
JAIN FANCY STORE (Rania),Haryana
JAIN GARMENTS (D),Delhi
JAIN  HOSIERY,Delhi
Jain Kapre Wale,Delhi
JAIN READYMADE GARMENTS (Rewari),Haryana
Jain Sales Agencies (Hisar),Haryana
Jain Traders (Delhi),Delhi
Jain Trading Co. (Bhiwani),Haryana
JAIN TRADING CO. (Uklana),Haryana
JAIPUR CLOTH HOUSE,Delhi
JAI SHANKAR PARKASH CHAND (MUNNA LAL JI),Delhi
JAI SHANKAR PARKASH CHAND & SONS (RAM AVTAR JI),Delhi
JAI SHIV AGENCIES,Delhi
JAI SHREE ENTERPRISES (RISHIKESH),Uttarakhand
JAI SHREE RAM HOSIERY & GARMENTS,Delhi
Jai Shri Balaji Garments (R),Delhi
JATIN GARMENTS,Delhi
JATIN HOSIERY,Delhi
JET DEPO (Farukhabad),Uttar Pradesh
J.G. FASHION (C/O JASPAL SINGH),Delhi
JHANDEWALI HANDLOOM STORE,Delhi
JINDAL GARMENTS,Delhi
JMD COLLECTION,Delhi
JOT RAM RAMESHWAR DASS,Delhi
J. P. GROUP  MARKETTING,Delhi
J.RAMESH HOSIERY HOUSE (AMRAVATI),Maharashtra
JSPC & SONS (RAJESH JI),Delhi
JYOTI COLLECTION (GOKALPURI),Delhi
JYOTI RANI GIFT & LEATHER SHOP,Rajasthan
KAILASH HOSIERY (BEAWAR),Rajasthan
KAKKAR GARMENTS (Panipat),Haryana
KAKU RAM PIARE LAL (Ludhiana),Punjab
KAMAL HOSIERY MILLS (Beawar),Rajasthan
KAMLA SONS (Amritsar),Punjab
Kanchan Terath Dress,Delhi
KANHAIYA  TRADERS,Delhi
KARAM CHAND & SONS,Delhi
KASTURI LAL GIRDHARI LAL (Amritsar),Punjab
KAVITA HOSIERY (Ajmer),Rajasthan
KEWAL HOSIERY (Hardoi),Uttar Pradesh
KHANDELWAL READY MADE CENTRE (Tonk),Rajasthan
KHANDELWAL TRADING CO.,Delhi
K.H. & COMPANY,Delhi
KHUSHDIL TRADERS,Delhi
KHUSHI HOSIERY,Haryana
KISHAN LAL & SONS,Delhi
KISHORE HANDLOOM & GARMENTS (Jodhpur),Rajasthan
KISHORE STORE (C/O SUNIL),Delhi
Kishori Lal Shri Niwas Panipat,Haryana
Kohinoor Hosiery (Gwalior),Madhya Pradesh
KOTHARI HANDLOOMS (Kuchaman City),Rajasthan
KPH CREATIONS (PAHARGANJ),Delhi
KRISHNA CLOTH HOUSE (D),Delhi
Krishna Enterprises (Solan),Himachal Pradesh
KRISHNA HOSIERY (Panipat),Haryana
Krishna Sales (Barmer),Rajasthan
Krishna Trading (Panipat),Haryana
KUCHHAL HANDLOOM (Panipat),Haryana
KUKREJA GENERAL STORE (C/O PRAVEEN KUKREJA) (D),Delhi
KUKREJA HOSIERY (Gwalior),Madhya Pradesh
KUMAR HANDLOOM,Uttar Pradesh
Kumar Hosiery (Bahadurgarh),Haryana
K.V.AGENCIES (Kanpur),Uttar Pradesh
LADHA GARMENTS (Varanasi),Uttar Pradesh
LALAJI & SONS (Moradabad),Uttar Pradesh
LAL JI TRADERS (Rohtak),Haryana
Lamba Bros. (Sadar Bazar),Delhi
Lavish Garments (Assandh),Haryana
LAXMAN DASS VIJAY KUMAR,Delhi
LAXMI BAG (SEEMAPURI) (D),Delhi
LAXMI EMPORIUM (Gwalior),Madhya Pradesh
LAXMI GARMENTS (KARAWAL NAGAR),Delhi
LAXMI TRADING CO. (Jammu),Jammu & Kashmir
LUCKY GENERAL STORE ( C/O ANIL KUMAR DHINGRA)(D),Delhi
LUCKY SHOE EMPORIUM (Sriganaganagar),Rajasthan
LUCKY SOCKS MART,Uttar Pradesh
LUCKY TRADERS (Mainpuri),Uttar Pradesh
LUXMI CLOTH HOUSE,Delhi
LUXMI TRADERS (LUDHIANA),Punjab
MAA GAYATRI ENTERPRISES (Ikauna),Uttar Pradesh
MAANSAROWER ENTERPRISES (Muzaffar Nagar),Uttar Pradesh
MAA SUMAN ENTERPRISES,Delhi
MADAAN BAG HOUSE (Panipat),Haryana
Madan Raj Umed Raj (Jodhpur),Rajasthan
Madan Store (Hisar),Haryana
MADHU HOSIERY STORE (Gwalior),Madhya Pradesh
MADRAS GARMENTS (D),Delhi
Mahadev Enterprises (Kankroli),Rajasthan
MAHADEV TRADING CO. (Jodhpur),Rajasthan
Mahajan Enterprises (Akhnoor),Jammu & Kashmir
MAHALAXMI TRADING COMPANY (Barmer),Rajasthan
MAHAVEER GARMENTS (SONIA VIHAR),Delhi
Mahaveer Readymade Store Ghanta Ghar (D),Delhi
MAHAVIR GARMENTS Clock Tower,Delhi
MAHAVIR GENERAL STORE,Haryana
MAHAVIR HOSIERY,Rajasthan
MAHAVIR  PD. JAIN  &  SONS,Delhi
MAHESH CHAND JAIN (C/O BABU RAM JAIN ) (D),Delhi
MAKHAN LAL & SONS (Baraut),Uttar Pradesh
MALHOTRA HOSIERY WORKS (Jalandhar),Punjab
MAMTA DRESSES (Udaipur),Rajasthan
MANAS HOSIERY,Delhi
Mangal Garments (R) (4.5 Sonia Vihar),Delhi
MANGLA TRADERS,Delhi
MANIRAM & SONS,Delhi
MANISH TRADERS (AJMER),Rajasthan
Manish Traders (Bareilly),Uttar Pradesh
MANOJ TOWEL STORE (Panipat),Haryana
MANOJ TRADERS (Farrukhabad),Uttar Pradesh
MANSI HANDLOOM (Firozabad),Uttar Pradesh
MEGHRAJ & SONS,Delhi
MEHTA HOSIERY (SIRSA),Haryana
MILAP HOSIERY (Ambala Cantt.),Haryana
MITTAL HOSIERY,Delhi
MITTAL SHOES (Panipat),Haryana
M.K. Hosiery (Delhi),Delhi
M.K. Hosiery (Hapur),Uttar Pradesh
M.M. HOSIERY (Bhiwani),Haryana
MODERN PALACE,Delhi
Mohammad Zafar,Uttar Pradesh
MOHAN HOSIERY,Delhi
MOHAN HOSIERY STORE,Delhi
MOHAN HOSIERY STORE (NEW),Delhi
Mohan Lal & Co. (Sadar Bazar),Delhi
MOHAN  LAL  NAND  LAL,Delhi
MOHD. YOUSUF (Bisalpur),Uttar Pradesh
MOHIT FANCY STORE (Jaipur),Rajasthan
"Monika Jain. C/O.Jain Kapde Wale
 (D)",Delhi
M.R. TRADERS (Karnal),Haryana
M.S. Handloom (Bareilly),Uttar Pradesh
MUKESH CHAND JAIN &SONS,Delhi
MUKESH TRADING CO. HINDONCITY,Rajasthan
"MUKESH TRADING CO., (JODHPUR)",Rajasthan
MUNSHI RAM RAJ KUMAR (Jammu),Jammu & Kashmir
MURLI READYMADE STORE (Jodhpur),Rajasthan
MUSKAN HOSIERY (Bayana),Rajasthan
Muskan Readymade Store (Jodhpur),Rajasthan
Muskan Traders (Meham),Haryana
Myra Agencies (Rewari),Haryana
NAGPAL CLOTH HOUSE,Delhi
Nagpal Textiles Emporium(D),Delhi
NAGPAL TRADERS,Delhi
NAINA FABRICS (Faridabad),Haryana
NANAK RAM & SONS (Jodhpur),Rajasthan
NANDA GARMENTS (D),Delhi
Narang Hosiery (Gandhi Nagar),Delhi
Narang Hosiery (Sonepat),Haryana
NARENDER TRANKS ATTACHI HOUSE (D),Delhi
"NARENDRA & CO., (Farukhabad)",Uttar Pradesh
NARENDRA HOSIERY FACTORY,Delhi
NARESH HOSIERY,Delhi
NAV BHARAT ENTERPRISES (Sirsa),Haryana
NAV BHARAT TRADERS (Sirsa),Haryana
NAVEEN TRADING CO. (Lucknow),Uttar Pradesh
NAVIN HOSIERY,Delhi
NAYYAR GARMENTS (D),Delhi
NEHA COLLECTION,Delhi
NESTO WHOLESALE MART,Uttar Pradesh
NEW AHUJA GENERAL STORE (D),Delhi
New Bhawani Collection (R),Delhi
NEW YORK FASHION,Delhi
NIDHAN AGENCY (Sikar),Rajasthan
NISHU TRADING CO. (Mawana),Uttar Pradesh
NITIK ENTERPRISES (Dehradun),Uttarakhand
NITIN & CO. (HISSAR),Haryana
NITIN GARMENTS (GORAKHPUR),Uttar Pradesh
NITIN HOSIERY (Alwar),Rajasthan
N.K. BHATIA (Ropar),Punjab
N.K. BROTHERS (JAIPUR),Rajasthan
N.K.MARKETING,Delhi
OM AGENCIES (GURGAON),Haryana
OMANSH TRADERS (BAREILLY),Uttar Pradesh
OM GENERAL STORE (KARNAL),Haryana
OM  PARKASH  &  SONS,Delhi
OM TRADERS & HOSERY,Uttar Pradesh
O.P. ENTERPRISES (Sriganaganagar),Rajasthan
O.P GARMENTS,Delhi
OSWAL AGENCIES (Pali),Rajasthan
Oswal General Store (Rania),Haryana
Pandey Hosiery,Delhi
PANDIT HOSIERY,Delhi
PANDIT JI BAG,Delhi
PANDIT RAJESH TRIVEDI (UJJAIN),Madhya Pradesh
Pankaj Enterprises (R),Delhi
PARIS GENERAL STORE (Barwala),Haryana
PARKASH CHAND SHARMA (Hisar),Haryana
Parkash Hosiery,Delhi
PARVEEN GARMENTS (SONIA VIHAR),Delhi
PAWAN HOSIERY(SAMBA),Jammu & Kashmir
Phool Hasan Genral Store,Delhi
POONAM GARMENTS & HOSIERY STORE (Nawabganj),Uttar Pradesh
POONAM JAIN (Gannaur),Haryana
PRACHI SALES CORPORATION (Barabanki),Uttar Pradesh
Pradip Hosiery,Delhi
PRAKHAR FANCY GARMENTS (Sultanpur U.P.),Uttar Pradesh
PRAVEEN DHIMAN (KAITHAL),Haryana
Praveen Hosiery (Gandhi Nagar),Delhi
Praveen Hosiery (Maujpur),Delhi
PREETI CLOTH HOUSE & READYMADE GARMENTS (USMANPUR),Delhi
PREM HOSIERY,Delhi
PREM KUMAR & SONS,Delhi
PREMPRAKASH AGENCIES (Jalna),Maharashtra
PREM SONS (Bikaner),Rajasthan
PREM TRADERS (Basti),Uttar Pradesh
Prince Bag,Delhi
PRINCE HOSIERY,Delhi
PRINCE TRADERS (Amritsar),Punjab
PRITAM GENERAL STORE (Kota),Rajasthan
PUNNET HANDLOOM & HOSIERY (Jalandhar),Punjab
PURI ENTERPRISES (Jalandhar),Punjab
PURI SONS (Jalandhar),Punjab
PURNIMA ENTERPRISE,Delhi
PUROHIT AGENCY (Pali),Rajasthan
RADHA GARMENTS (C/O PARVINDER),Delhi
Radha Traderes,Delhi
RADHEY KRISHNA & SONS,Delhi
RAGHAV ENTERPRISES (SIKAR),Rajasthan
Rahul Garments,Delhi
RAHUL HOSIERY,Delhi
RAHUL READYMADE STORE (Farrukhabad),Uttar Pradesh
RAI CHAND MUKESH KUMAR JAIN (Uklana),Haryana
RAJA RAM BAJAJ (Farrukhabad),Uttar Pradesh
RAJASTHAN DISTRIBUTOR (Barmer),Rajasthan
RAJENDER HOSIERY,Delhi
RAJESH HOSIERY,Delhi
RAJ HOSIERY AGENCIES (Sriganaganagar),Rajasthan
RAJ HOSIERY (AJMER),Rajasthan
RAJINDRA  TRADING  COMPANY,Delhi
RAJ  INDUSTRIES,Delhi
RAJIV GARMENTS (D),Delhi
RAJKUMAR JI (C/O DEVI SAHAI) (Sikar),Rajasthan
RAJNI SALES CORPORATION (Kankroli),Rajasthan
RAJ TRADERS (Basti),Uttar Pradesh
RAJU SAREE EMPORIUM (C/O ASHOK SINGH) (D),Delhi
RAKESH GENRAL STORE (Sikar),Rajasthan
RAKESH HOSIERY,Delhi
RAKESH  KUMAR  &  SONS,Delhi
Rakesh Traders,Delhi
Rama Hosiery Store,Delhi
RAMESH HOSIERY & GARMENTS,Delhi
RAMESH TRADERS (Panipat),Haryana
Ramesh Verma Trends (D),Delhi
Ram Kishan Dass Khazanchi Lal (Kaithal),Haryana
RAM LAKHAN DAS (Chitrakoot),Madhya Pradesh
RAM LAL RITESH KUMAR (Panipat),Haryana
RAM SAROOP CHIRNJI LAL(D),Delhi
RANI BHATYANI GENERAL STORE (Jalore Raj.),Rajasthan
RATTAN LAL SHYAM SUNDER,Delhi
Ravi Hosiery (Ajmer),Rajasthan
RAVINDER HOSIERY,Delhi
RAVI READYMADE GARMENTS (Walterganj),Uttar Pradesh
RAVI TRADERS (Ajmer),Rajasthan
RAWAL ENTERPRISES (Barmer),Rajasthan
RAWEL  SINGH  &  SONS,Delhi
R.D. GARMENTS,Delhi
RIDHI SIDHI ENTERPRISES (Jodhpur),Rajasthan
RIMPAL GARMENTS (Jalandhar),Punjab
RIMPY STORE (Hisar),Haryana
RINKU TRADERS,Delhi
"RISHABH AGENCIES,",Uttar Pradesh
R.K. BANGLES (Sikar),Rajasthan
R.K. HOSIERY,Delhi
R.K. TRADERS (Sangrur),Punjab
ROBIN WOOL AGENCY (Sirsa),Haryana
Rohan Garments,Delhi
Rohan General Store,Delhi
ROHIT COLLECTION (Panipat),Haryana
ROHIT TRADERS,Delhi
ROOPA TRADING CENTRE,Delhi
R.R. TRADERS (AMRITSAR),Punjab
R.S. ENTERPRISES (BAREILLY),Uttar Pradesh
RSL GARMENTS (BIKANER),Rajasthan
SACHDEVA HOSIERY STORE,Delhi
SACHIN GARMENTS (D),Delhi
SACHIN SHINGAR (C/O RAMESH VERMA),Delhi
SAGAR GARMENTS (GONDA),Uttar Pradesh
SAGAR HOSIERY,Delhi
SAGHAR HOSIERY,Uttar Pradesh
SAHIL WARDI ( C/O RAM NIWAS),Delhi
SAHNI  GARMENTS,Delhi
SAHU FANCY STORE (BARABANKI),Uttar Pradesh
SAI AGENCIES,Rajasthan
SAINI GARMENTS (C/O RAKESH SAINI),Delhi
SAINI TRADERS (USMANPUR) (D),Delhi
SAJAN HOSIERY,Delhi
SANDEEP ENTERPRISES(YAMUNA NAGAR),Haryana
Sanghi Hosiery Industry (Gandhi Nagar),Delhi
Sanjay Garments (Sonia Vihar) (D),Delhi
SANJAY GENERAL STORE ( C/O KUNJ BIHARI JAIN) (D),Delhi
Sanjay Hosiery (Sumerpur),Rajasthan
SANJAY READYMADE GARMENTS,Delhi
SANJAY TRADERS,Delhi
SANJAY TRADERS (New),Delhi
SANSAR HOSIERY,Delhi
Santani Hosiery (P) Ltd,Maharashtra
SANTOSH CLOTH HOUSE,Delhi
SANWARIYA FASHION ( SONIA VIHAR),Delhi
SANWARIYA READYMADE (BARMER),Rajasthan
Saraswati Trading,Rajasthan
Satender Hosiery,Delhi
SATISH HOSIERY STORE (MEERUT),Uttar Pradesh
SATISH (KAITHAL),Haryana
SATISH TEXTILES,Delhi
Sat Narain Global,Delhi
Satnarain Narendra Kumar,Delhi
SATYAM TRADERS (KANPUR),Uttar Pradesh
SAURABH AGENCIES (BHARATPUR),Rajasthan
S.B.HOSIERY,Delhi
SELECTION CENTRE (JASPUR),Uttarakhand
SETHI DI HATTI (BATALA),Punjab
SEWAK HOSIERY,Delhi
S.G. Enterprises,Delhi
SGS TRADERS,Jammu & Kashmir
SHAAN AGENCIES,Uttar Pradesh
SHAILENDER READYMADE CENTRE (GANGAPUR CITY),Rajasthan
SHAKEEL HANDLOOM  & HOSIERY STORE,Uttar Pradesh
Shakti Traders (Gandhi Nagar),Delhi
SHAM HOSIERY STORE,Delhi
Sham Lal & Co. (Jammu),Jammu & Kashmir
Shamsi Hosiery Store (Pilibhit),Uttar Pradesh
SHANKER HOSIERY STORE,Madhya Pradesh
SHANTI PARSAD ANAND KUMAR (GURGAON),Haryana
SHANTI SALES AGENCY (HISAR),Haryana
Shashi  Brothers,Delhi
Shashi Hosiery,Delhi
Sh. Chandrakant Shastri Ji,Uttarakhand
Sheetal & Co.,Haryana
S.H.HOSIERY,Delhi
SHIRAZ GARMENTS STORE (RAMPUR),Uttar Pradesh
SHIVA GARMENTS (KURUKSHETRA),Haryana
SHIVA GENERAL STORE,Punjab
Shivam Cloth House,Delhi
SHIVAM GARMENTS,Delhi
Shivani Collection (Pahar Ganj)(R),Delhi
SHIV CLOTH HOUSE (D),Delhi
SHIV FASHION WEAR (TRI NAGAR),Delhi
Shiv Hosiery Factory,Delhi
SHIV SHAKTI EMPORIUM (D),Delhi
SHIV TRADERS,Delhi
SHREE BALAJI CHURI BHANDAR (FATEHABAD),Haryana
SHREE BALAJI GARMENTS (BHIWANI),Haryana
SHREE BALAJI HOSIERY (NAJAFGARH),Delhi
"SHREE  BALAJI  HOSIERY,(UN)",Delhi
